"久","キュウ, ク, ひさ.しい","long time, old story"
"偶","グウ, たま","accidentally, even number, couple, man & wife, same kind"
"辛","シン, から.い, つら.い, -づら.い, かのと","spicy, bitter, hot, acrid"
"磨","マ, みが.く, す.る","grind, polish, scour, improve, brush (teeth)"
"姓","セイ, ショウ","surname"
"筒","トウ, つつ","cylinder, pipe, tube, gun barrel, sleeve"
"粒","リュウ, つぶ","grains, drop, counter for tiny particles"
"偉","イ, えら.い","admirable, greatness, remarkable, conceited, famous, excellent"
"畳","ジョウ, チョウ, たた.む, たたみ, かさ.なる","tatami mat, counter for tatami mats, fold, shut up, do away with"
"膚","フ, はだ","skin, body, grain, texture, disposition"
"濯","タク, すす.ぐ, ゆす.ぐ","laundry, wash, pour on, rinse"
"猫","ビョウ, ねこ","cat"
"塔","トウ","pagoda, tower, steeple"
"沸","フツ, わ.く, わ.かす","seethe, boil, ferment, uproar, breed"
"菓","カ","candy, cakes, fruit"
"帽","ボウ, モウ, ずきん, おお.う","cap, headgear"
"枯","コ, か.れる, か.らす","wither, die, dry up, be seasoned"
"涼","リョウ, すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに","refreshing, nice and cool"
"舟","シュウ, ふね, ふな-, -ぶね","boat, ship"
"符","フ","token, sign, mark, tally, charm"
"憎","ゾウ, にく.む, にく.い, にく.らしい, にく.しみ","hate, detest"
"肯","コウ, がえんじ.る","agreement, consent, comply with"
"燥","ソウ, はしゃ.ぐ","parch, dry up"
"畜","チク","livestock, domestic fowl and animals"
"坊","ボウ, ボッ","boy, priest's residence, priest"
"挟","キョウ, ショウ, はさ.む, はさ.まる, わきばさ.む, さしはさ.む","pinch, between"
"曇","ドン, くも.る","cloudy weather, cloud up"
"滴","テキ, しずく, したた.る","drip, drop"
"伺","シ, うかが.う","pay respects, visit, ask, inquire, question, implore"
